"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/2019","3.9443","3.9344","3.9540","3.9293","","0.23%"
"10/04/2019","3.9353","3.9516","3.9534","3.9314","","-0.39%"
"10/03/2019","3.9506","3.9784","3.9926","3.9367","","-0.63%"
"10/02/2019","3.9758","4.0041","4.0177","3.9753","","-0.69%"
"10/01/2019","4.0035","4.0110","4.0265","3.9999","","-0.14%"
"09/30/2019","4.0092","4.0052","4.0237","3.9973","","0.10%"
"09/27/2019","4.0053","4.0166","4.0229","3.9989","","-0.23%"
"09/26/2019","4.0147","4.0060","4.0221","3.9943","","0.28%"
"09/25/2019","4.0034","3.9754","4.0085","3.9716","","0.74%"
"09/24/2019","3.9740","3.9943","4.0010","3.9729","","-0.48%"
"09/23/2019","3.9931","3.9688","4.0106","3.9646","","0.59%"
"09/20/2019","3.9697","3.9336","3.9803","3.9216","","0.92%"
"09/19/2019","3.9334","3.9348","3.9422","3.9193","","0.03%"
"09/18/2019","3.9322","3.9162","3.9429","3.9111","","0.46%"
"09/17/2019","3.9140","3.9357","3.9481","3.9149","","-0.50%"
"09/16/2019","3.9338","3.9032","3.9397","3.9014","","0.75%"
"09/13/2019","3.9047","3.9193","3.9239","3.8944","","-0.32%"
"09/12/2019","3.9174","3.9423","3.9636","3.9097","","-0.58%"
"09/11/2019","3.9403","3.9232","3.9501","3.9188","","0.45%"
"09/10/2019","3.9228","3.9216","3.9314","3.9179","","0.05%"
"09/09/2019","3.9207","3.9351","3.9399","3.9169","","-0.26%"
"09/06/2019","3.9310","3.9342","3.9407","3.9234","","-0.07%"
"09/05/2019","3.9339","3.9327","3.9478","3.9127","","0.09%"
"09/04/2019","3.9302","3.9606","3.9644","3.9265","","-0.73%"
"09/03/2019","3.9592","3.9759","3.9996","3.9586","","-0.42%"
"09/02/2019","3.9757","3.9848","3.9889","3.9675","","-0.17%"
"08/30/2019","3.9823","3.9687","3.9986","3.9633","","0.39%"
"08/29/2019","3.9668","3.9637","3.9755","3.9542","","0.09%"
"08/28/2019","3.9631","3.9465","3.9662","3.9432","","0.44%"
"08/27/2019","3.9458","3.9302","3.9492","3.9235","","0.41%"
"08/26/2019","3.9298","3.9276","3.9355","3.9182","","0.10%"
"08/23/2019","3.9258","3.9325","3.9441","3.9209","","-0.16%"
"08/22/2019","3.9320","3.9224","3.9506","3.9158","","0.27%"
"08/21/2019","3.9214","3.9272","3.9325","3.9142","","-0.11%"
"08/20/2019","3.9257","3.9425","3.9464","3.9244","","-0.42%"
"08/19/2019","3.9423","3.9123","3.9448","3.9090","","0.80%"
"08/16/2019","3.9111","3.9348","3.9409","3.9004","","-0.60%"
"08/15/2019","3.9348","3.9264","3.9480","3.9151","","0.23%"
"08/14/2019","3.9256","3.8797","3.9302","3.8755","","1.20%"
"08/13/2019","3.8791","3.8612","3.8823","3.8580","","0.48%"
"08/12/2019","3.8605","3.8607","3.8767","3.8540","","0.01%"
"08/09/2019","3.8603","3.8693","3.8698","3.8521","","-0.22%"
"08/08/2019","3.8688","3.8586","3.8695","3.8473","","0.31%"
"08/07/2019","3.8570","3.8528","3.8633","3.8442","","0.10%"
"08/06/2019","3.8533","3.8571","3.8624","3.8410","","-0.10%"
"08/05/2019","3.8571","3.8791","3.8823","3.8498","","-0.53%"
